,Morocco
1960,2037150716.33238
1961,2025689536.60705
1962,2379606422.29029
1963,2657247327.3392
1964,2798339768.79755
1965,2948325264.30195
1966,2876395613.08171
1967,3046339294.53611
1968,3271415867.99723
1969,3651615453.01848
1970,3956328426.04486
1971,4356633663.36634
1972,5074117544.77482
1973,6242177798.33938
1974,7675408485.51421
1975,8984824182.60333
1976,9584323309.12136
1977,11049896742.3889
1978,13236854105.1672
1979,15912133569.2852
1980,21728770055.3777
1981,17788171722.4446
1982,17692341358.1272
1983,16251460689.3254
1984,14824728528.4604
1985,14991283215.7408
1986,19462175321.8224
1987,21765261041.7265
1988,25705296183.5037
1989,26314220188.0257
1990,30180108561.9305
1991,32285388165.2999
1992,33711069430.78
1993,31655473663.8348
1994,35604137422.5796
1995,39030285468.3841
1996,43161452678.4383
1997,39147844526.0838
1998,41806219378.6181
1999,41632027599.8531
2000,38857251336.3448
2001,39459581217.3759
2002,42236836820.6152
2003,52064058833.9739
2004,59626020162.3816
2005,62343022650.8742
2006,68640825480.9223
2007,79041294874.4553
2008,92507257783.5697
2009,92897320375.8176
2010,93216746661.5977
2011,101370474295.109
2012,98266306615.3632
2013,106825649872.108
2014,110081248587.369
2015,101179808076.36
2016,103311649248.024
2017,109682728023.112
2018,118096227400.092
2019,119870439113.662
2020,114725065285.149
2021,132725261467.431
