,Puerto Rico
1960,1691900000.0
1961,1865100000.0
1962,2094400000.0
1963,2333600000.0
1964,2570500000.0
1965,2881500000.0
1966,3170500000.0
1967,3532700000.0
1968,3941700000.0
1969,4460700000.0
1970,5034700000.0
1971,5646800000.0
1972,6328900000.0
1973,7002400000.0
1974,7684800000.0
1975,8198300000.0
1976,8968600000.0
1977,9910900000.0
1978,11165000000.0
1979,12750000000.0
1980,14436100000.0
1981,15955700000.0
1982,16764200000.0
1983,17276600000.0
1984,19162600000.0
1985,20289200000.0
1986,22009300000.0
1987,24025800000.0
1988,26385800000.0
1989,28161200000.0
1990,30603919000.0
1991,32287031000.0
1992,34630430000.0
1993,36922456000.0
1994,39690630000.0
1995,42647331000.0
1996,45340835000.0
1997,48187039000.0
1998,54086400000.0
1999,57841000000.0
2000,61701800000.0
2001,69208400000.0
2002,71623500000.0
2003,74827400000.0
2004,80322313000.0
2005,83914521300.0
2006,87276164400.0
2007,89524131600.0
2008,93639300000.0
2009,96385600000.0
2010,98381300000.0
2011,100351700000.0
2012,101564800000.0
2013,102450000000.0
2014,102445800000.0
2015,103375500000.0
2016,104336700000.0
2017,103445526000.0
2018,100925000000.0
2019,104914600000.0
2020,103138300000.0
