,United Arab Emirates
1975,14720672506.5004
1976,19213022691.0526
1977,24871775164.6043
1978,23775831783.4263
1979,31225463217.7582
1980,43598748449.0479
1981,49333424135.1131
1982,46622718605.2847
1983,42803323345.1376
1984,41807954235.903
1985,40603650231.5445
1986,33943612094.7971
1987,36384908744.2114
1988,36275674203.2144
1989,41464995913.9199
1990,50701443748.2975
1991,51552165622.4462
1992,54239171887.769
1993,55625170253.337
1994,59305093979.842
1995,65743666575.8649
1996,73571233996.1863
1997,78839008444.5655
1998,75674336283.1858
1999,84445473110.9598
2000,104337372362.151
2001,103311640571.818
2002,109816201497.617
2003,124346358066.712
2004,147824370319.946
2005,180617467964.602
2006,222116541865.214
2007,257916133424.098
2008,315474615738.598
2009,253547358747.447
2010,289787452661.511
2011,350666058392.172
2012,374590657683.251
2013,390107528483.058
2014,403137207534.971
2015,358134944420.504
2016,357045156018.56
2017,385605506854.881
2018,422215043584.969
2019,417215559513.364
2020,358868765174.924
