,Argentina
1962,24450604877.4934
1963,18272123664.3994
1964,25605249381.7597
1965,28344705966.5801
1966,28630474727.8546
1967,24256667553.2569
1968,26436857247.4696
1969,31256284543.5869
1970,31584210365.5447
1971,33293199095.4681
1972,34733000536.2862
1973,52544000116.9037
1974,72436777342.4443
1975,52438647921.9226
1976,51169499892.1722
1977,56781000101.0848
1978,58082870156.329
1979,69252328951.6441
1980,76961923741.0701
1981,78676842366.5529
1982,84307486836.724
1983,103979106777.911
1984,79092001998.032
1985,88416668900.2596
1986,110934442762.694
1987,111106191358.197
1988,126206817196.091
1989,76636898036.4712
1990,141352368714.691
1991,189719984268.485
1992,228788617201.696
1993,236741715015.015
1994,257440000000.0
1995,258031750000.0
1996,272149750000.0
1997,292859000000.0
1998,298948250000.0
1999,283523000000.0
2000,284203750000.0
2001,268696750000.0
2002,97724004251.8602
2003,127586973492.177
2004,164657930452.787
2005,198737095012.282
2006,232557260817.308
2007,287530508430.568
2008,361558037110.419
2009,332976484577.619
2010,423627422092.49
2011,530163281574.658
2012,545982375701.128
2013,552025140252.246
2014,526319673731.638
2015,594749285413.212
2016,557531376217.967
2017,643628665302.155
2018,524819742918.669
2019,452818426182.658
2020,389591035520.675
2021,491492700657.012
