,Austria
1960,6592693841.18495
1961,7311749633.36229
1962,7756110210.11966
1963,8374175257.73075
1964,9169983885.71185
1965,9994070615.85997
1966,10887682273.1014
1967,11579431668.9165
1968,12440625312.8685
1969,13582798556.2404
1970,15373005557.0257
1971,17858486066.7474
1972,22059612476.9332
1973,29515467706.796
1974,35189299911.6608
1975,40059206763.056
1976,42959976221.5234
1977,51545758887.6863
1978,62052259073.2493
1979,73937296963.4586
1980,82058912997.2346
1981,71034228443.062
1982,71275287569.5733
1983,72121016546.6524
1984,67985344886.8716
1985,69386774408.0872
1986,99036164939.1618
1987,124168442533.74
1988,133339397080.129
1989,133105805512.22
1990,166463386179.354
1991,173794177961.108
1992,195078126721.763
1993,190379720809.18
1994,203535242741.838
1995,241038283062.645
1996,237250948791.266
1997,212790348404.555
1998,218259904401.956
1999,217259147049.954
2000,197289625479.906
2001,197508773215.323
2002,214394866675.24
2003,262273631180.054
2004,301457562038.541
2005,316092273276.015
2006,336280064332.411
2007,389185571506.052
2008,432051935642.945
2009,401758735822.211
2010,392275107258.667
2011,431685217367.511
2012,409401816050.531
2013,430190979705.962
2014,442584815286.034
2015,381971148530.543
2016,395837353031.499
2017,417261151844.977
2018,455168151938.941
2019,445011872704.47
2020,433258467676.515
2021,477082467454.295
