,Brunei Darussalam
1965,114040245.655299
1966,132758395.400497
1967,139030445.576898
1968,160819286.554292
1969,161211289.690318
1970,179080099.307461
1971,197523179.241883
1972,270818555.823521
1973,433092003.579273
1974,1073577085.64159
1975,1168304305.65513
1976,1423061356.64562
1977,1732721160.94122
1978,1941600703.60598
1979,2803780005.51826
1980,4928824957.96749
1981,4366213849.57637
1982,4264252336.4486
1983,3844723142.45149
1984,3782523088.4628
1985,3523612563.06532
1986,2358592817.12134
1987,2754463437.79677
1988,2690717551.18267
1989,2985467979.28524
1990,3520551724.13793
1991,3701667052.55846
1992,4183548189.07305
1993,4105706151.75145
1994,4087337959.93191
1995,4734020036.68689
1996,5115602836.87943
1997,5197332974.13793
1998,4051147227.53346
1999,4600000000.0
2000,6001153306.2645
2001,5601090584.36122
2002,5843329107.56171
2003,6557333084.60567
2004,7872333215.00414
2005,9531402847.87311
2006,11470703002.0769
2007,12247694247.2298
2008,14393099068.5859
2009,10732366286.2643
2010,13707370737.0737
2011,18525319977.7407
2012,19047940300.8963
2013,18093829923.2737
2014,17098342541.4365
2015,12930394937.8137
2016,11400854267.7188
2017,12128104859.1498
2018,13567351175.0315
2019,13469422958.5105
2020,12005825769.5087
2021,14006569575.68
