,"Congo, Rep."
1960,131731862.568997
1961,151675739.160627
1962,166521239.863281
1963,172233430.871502
1964,185693724.845331
1965,198318063.860835
1966,220613582.369827
1967,237397428.336429
1968,251247458.012189
1969,265040036.059116
1970,274960699.85855
1971,322128019.323561
1972,410669262.897929
1973,541973362.480998
1974,585364635.354748
1975,767102679.018622
1976,754549600.548182
1977,765224030.636552
1978,878771771.29105
1979,1198749665.95066
1980,1705796849.54655
1981,1993512325.92286
1982,2160640566.5396
1983,2097274289.61512
1984,2193581366.40722
1985,2160872541.41887
1986,1849268214.68184
1987,2297753649.27979
1988,2212536313.33492
1989,2389593021.94866
1990,2798746050.58236
1991,2724853507.64996
1992,2933222705.7974
1993,2684323618.40365
1994,1769365438.88526
1995,2116003868.17373
1996,2540697537.70424
1997,2322719101.28455
1998,1949481380.64925
1999,2354772959.06186
2000,3227927697.43665
2001,2796704603.04443
2002,3034250926.18009
2003,3503723086.7028
2004,4656974937.55227
2005,6650001684.9045
2006,8072305030.68484
2007,8782703427.96085
2008,11649857662.1388
2009,9723299908.19473
2010,13148396205.671
2011,15655383585.9887
2012,17692911280.5627
2013,17958720704.4596
2014,17912907682.0663
2015,11890259176.6829
2016,10219341017.1383
2017,11094823676.5914
2018,13670038019.8594
2019,12750338736.1661
2020,10483151093.6873
2021,12523961677.2966
