,Jordan
1965,599831979.837581
1966,658078969.476337
1967,631755810.697284
1968,561187342.481098
1969,698963875.66508
1970,639596751.610193
1971,678241388.966676
1972,788574628.955475
1973,943700547.778454
1974,1197454206.76808
1975,1363039399.62477
1976,1708734939.75904
1977,2096568478.59095
1978,2602748691.09948
1979,3271728271.72827
1980,3910036925.14267
1981,4384685230.02421
1982,4680567375.88653
1983,4920407601.21179
1984,4966710013.0039
1985,4993829194.12063
1986,6401380000.0
1987,6755599113.73707
1988,6277197435.2124
1989,4220945005.22102
1990,4160003917.43258
1991,4344250257.01278
1992,5311329067.37276
1993,5605841535.57512
1994,6237739516.24445
1995,6727446632.42009
1996,6928359238.36389
1997,7246188575.45839
1998,7912327362.48237
1999,8149106064.88011
2000,8460424400.56418
2001,8975689844.8519
2002,9582453032.44006
2003,10195660789.8449
2004,11411390409.0268
2005,12588665303.244
2006,15056929760.2257
2007,17110587447.1086
2008,22657662392.5602
2009,24537876056.338
2010,27133804225.3521
2011,29524149154.9296
2012,31634561690.1408
2013,34454440140.8451
2014,36847643521.1268
2015,38587017887.3239
2016,39892551126.7606
2017,41408960845.0704
2018,42932112676.0563
2019,44502895915.493
2020,43697659295.7747
2021,45243661971.831
