,Philippines
1960,7515886650.62035
1961,8171186334.65347
1962,4954529277.07288
1963,5505055617.58388
1964,5953766853.70844
1965,6517304758.00675
1966,7189017887.69231
1967,7724873935.12821
1968,8632749269.48718
1969,9571800652.5641
1970,7559179530.34229
1971,8375086047.07931
1972,9067872578.95368
1973,11412421019.6409
1974,15607825071.0824
1975,16875240683.5083
1976,19380945792.5084
1977,22283185055.6546
1978,25762077665.6982
1979,31218507869.8746
1980,36848242784.3012
1981,40499645207.3523
1982,42206011275.1757
1983,37759237657.8149
1984,35730202751.1124
1985,34961565262.5582
1986,33987178952.4029
1987,37791442730.5921
1988,43152077817.6509
1989,48513735778.6601
1990,50508286641.5746
1991,51784207132.0955
1992,60422309295.4434
1993,62036625222.1624
1994,73159245525.6424
1995,84644220101.4991
1996,94648084429.0341
1997,94106183450.0029
1998,74492325248.0247
1999,85640133799.7902
2000,83669693589.1547
2001,78921234457.5487
2002,84307291973.8158
2003,87039145965.2826
2004,95002028504.6904
2005,107419961717.693
2006,127652859201.041
2007,155980378253.634
2008,181624577154.679
2009,175974711592.145
2010,208368726861.407
2011,234216930369.796
2012,261920509950.555
2013,283902728260.716
2014,297483247101.038
2015,306446140628.709
2016,318626761492.867
2017,328480867142.69
2018,346842094175.24
2019,376823278561.196
2020,361751116292.541
2021,394086419343.056
