,Togo
1960,121128073.114022
1961,126396469.707058
1962,132237441.630863
1963,143255784.510751
1964,166104067.630043
1965,187300336.365369
1966,216136263.912497
1967,231706475.464114
1968,241956910.658103
1969,267732446.378413
1970,253976626.166639
1971,286537524.990331
1972,335677636.893737
1973,406479906.159652
1974,560437742.594972
1975,617321669.390877
1976,619375134.18051
1977,777435020.475847
1978,824263841.539264
1979,891775906.631014
1980,1136408814.19692
1981,962347000.991788
1982,821651918.724626
1983,765746590.616849
1984,718148959.610872
1985,762359722.701402
1986,1060911735.26065
1987,1249099130.02277
1988,1378847487.41137
1989,1352949662.75172
1990,1628427515.41881
1991,1602299862.9243
1992,1692959110.18022
1993,1233496846.33493
1994,982624324.505898
1995,1309382885.33029
1996,1465448290.34132
1997,1498950899.08774
1998,1587345950.9743
1999,1576672791.65481
2000,1491891107.95711
2001,1482437752.05739
2002,1706698099.44513
2003,2115836353.1204
2004,2259992642.29014
2005,2281482855.46518
2006,2351584608.41123
2007,2662612348.44099
2008,3323677130.04484
2009,3379258564.97242
2010,3429461495.41335
2011,3872459249.74631
2012,3873308389.30006
2013,4321655656.33177
2014,4574986536.90791
2015,4180866177.03946
2016,6031632168.17391
2017,6395472574.41445
2018,7112200725.00232
2019,7220395247.7424
2020,7574636978.66175
2021,8413200567.6151
